ano,uf,municipio,populacao
2023,RO,ALTA FLORESTA D'OESTE,22684.0
2023,RO,ARIQUEMES,109860.0
2023,RO,CABIXI,5378.0
2023,RO,CACOAL,92026.0
2023,RO,CEREJEIRAS,16531.0
2023,RO,COLORADO DO OESTE,15900.0
2023,RO,CORUMBIARA,7526.0
2023,RO,COSTA MARQUES,16388.0
2023,RO,ESPIGÃO D'OESTE,32863.0
2023,RO,GUAJARÁ-MIRIM,45241.0
2023,RO,JARU,53526.0
2023,RO,JI-PARANÁ,135192.0
2023,RO,MACHADINHO D'OESTE,37893.0
2023,RO,NOVA BRASILÂNDIA D'OESTE,18504.0
2023,RO,OURO PRETO DO OESTE,37063.0
2023,RO,PIMENTA BUENO,38075.0
2023,RO,PORTO VELHO,531912.0
2023,RO,PRESIDENTE MÉDICI,19341.0
2023,RO,RIO CRESPO,3798.0
2023,RO,ROLIM DE MOURA,59153.0
2023,RO,SANTA LUZIA D'OESTE,6909.0
2023,RO,VILHENA,106522.0
2023,RO,SÃO MIGUEL DO GUAPORÉ,22707.0
2023,RO,NOVA MAMORÉ,30340.0
2023,RO,ALVORADA D'OESTE,13822.0
2023,RO,ALTO ALEGRE DOS PARECIS,12765.0
2023,RO,ALTO PARAÍSO,19860.0
2023,RO,BURITIS,35886.0
2023,RO,NOVO HORIZONTE DO OESTE,8090.0
2023,RO,CACAULÂNDIA,5326.0
2023,RO,CAMPO NOVO DE RONDÔNIA,11808.0
2023,RO,CANDEIAS DO JAMARI,26115.0
2023,RO,CASTANHEIRAS,3189.0
2023,RO,CHUPINGUAIA,10942.0
2023,RO,CUJUBIM,21507.0
2023,RO,GOVERNADOR JORGE TEIXEIRA,7775.0
2023,RO,ITAPUÃ DO OESTE,10014.0
2023,RO,MINISTRO ANDREAZZA,8059.0
2023,RO,MIRANTE DA SERRA,10215.0
2023,RO,MONTE NEGRO,14199.0
2023,RO,NOVA UNIÃO,6699.0
2023,RO,PARECIS,5354.0
2023,RO,PIMENTEIRAS DO OESTE,2219.0
2023,RO,PRIMAVERA DE RONDÔNIA,2988.0
2023,RO,SÃO FELIPE D'OESTE,5283.0
2023,RO,SÃO FRANCISCO DO GUAPORÉ,19299.0
2023,RO,SERINGUEIRAS,12400.0
2023,RO,TEIXEIRÓPOLIS,4348.0
2023,RO,THEOBROMA,9444.0
2023,RO,URUPÁ,11229.0
2023,RO,VALE DO ANARI,9905.0
2023,RO,VALE DO PARAÍSO,6666.0
2023,AC,ACRELÂNDIA,15189.0
2023,AC,ASSIS BRASIL,8111.0
2023,AC,BRASILÉIA,27482.0
2023,AC,BUJARI,12169.0
2023,AC,CAPIXABA,11601.0
2023,AC,CRUZEIRO DO SUL,94071.0
