ano,uf,populacao
2023,RO,1780752.0
2023,AC,893753.0
2023,AM,4275602.0
2023,RR,684753.0
2023,PA,8720715.0
2023,AP,840225.0
2023,TO,1592352.0
2023,MA,7082111.0
2023,PI,3332468.0
2023,CE,9237118.0
2023,RN,3503487.0
2023,PB,4102472.0
2023,PE,9606911.0
2023,AL,3292727.0
2023,SE,2314775.0
2023,BA,14917898.0
2023,MG,21367307.0
2023,ES,4105318.0
2023,RJ,17341514.0
2023,SP,46311163.0
2023,PR,11711074.0
2023,SC,7698457.0
2023,RS,11348272.0
2023,MS,2870541.0
2023,MT,3701816.0
2023,GO,7278536.0
2023,DF,3038571.0
2024,RO,1746227.0
2024,AC,880631.0
2024,AM,4281209.0
2024,RR,716793.0
2024,PA,8664306.0
2024,AP,802837.0
2024,TO,1577342.0
2024,MA,7010960.0
2024,PI,3375646.0
2024,CE,9233656.0
2024,RN,3446071.0
2024,PB,4145040.0
2024,PE,9539029.0
2024,AL,3220104.0
2024,SE,2291077.0
2024,BA,14850513.0
2024,MG,21322691.0
2024,ES,4102129.0
2024,RJ,17219679.0
2024,SP,45973194.0
2024,PR,11824665.0
2024,SC,8058441.0
2024,RS,11229915.0
2024,MS,2901895.0
2024,MT,3836399.0
2024,GO,7350483.0
2024,DF,2982818.0
2025,RO,1751950.0
2025,AC,884372.0
2025,AM,4321616.0
2025,RR,738772.0
2025,PA,8711196.0
2025,AP,806517.0
2025,TO,1586859.0
2025,MA,7018211.0
2025,PI,3384547.0
2025,CE,9268836.0
2025,RN,3455236.0
2025,PB,4164468.0
2025,PE,9562007.0
2025,AL,3220848.0
2025,SE,2299425.0
2025,BA,14870907.0
2025,MG,21393441.0
2025,ES,4126854.0
2025,RJ,17223547.0
2025,SP,46081801.0
2025,PR,11890517.0
2025,SC,8187029.0
2025,RS,11233263.0
2025,MS,2924631.0
2025,MT,3893659.0
2025,GO,7423629.0
2025,DF,2996899.0
